ID	name	classID	score	pctRank	rank	pctCorrect
1	Liam	1	27	46	500	54
2	Noah	1	11	3	955	22
3	Sophia	1	17	14	830	34
4	Bella	1	34	68	288	68
5	Mary	1	45	93	42	90
6	Mia	1	19	20	763	38
7	Emily	1	24	37	599	48
8	Abby	1	26	43	532	52
9	Pam	1	39	81	169	78
10	Bob	1	32	62	350	64
11	Olivia	1	37	76	209	74
12	Mike	1	36	73	236	72
13	Mason	1	23	33	631	46
14	Jacob	1	16	12	854	32
15	Nick	1	49	98	5	98
16	Ethan	1	28	50	467	56
17	Emma	1	38	79	188	76
18	Alex	1	29	53	434	58
19	Jim	1	40	83	147	80
20	Dan	1	13	6	917	26
21	Harper	2	12	4	939	24
22	Sofia	2	11	3	955	22
23	Avery	2	39	81	169	78
24	Elizabeth	2	43	89	77	86
25	Amelia	2	25	40	569	50
26	Evelyn	2	28	50	467	56
27	Ella	2	39	81	169	78
28	Chloe	2	15	9	880	30
29	Victoria	2	22	30	662	44
30	Aubrey	2	27	46	500	54
31	Elijah	2	26	43	532	52
32	Benjamin	2	19	20	763	38
33	Logan	2	36	73	236	72
34	Aiden	2	30	56	410	60
35	Jayden	2	31	59	376	62
36	Matt	2	21	27	693	42
37	Jackson	2	48	98	12	96
38	David	2	12	4	939	24
39	Lucas	2	25	40	569	50
40	Joseph	2	41	85	129	82
41	Grace	3	20	23	729	40
42	Zoey	3	30	56	410	60
43	Natalie	3	28	50	467	56
44	Addison	3	50	99	1	100
45	Lillian	3	20	23	729	40
46	Brooklyn	3	14	8	902	28
47	Lily	3	34	68	288	68
48	Hannah	3	20	23	729	40
49	Layla	3	32	62	350	64
50	Scarlett	3	39	81	169	78
51	Anthony	3	18	17	800	36
52	Andrew	3	36	73	236	72
53	Samuel	3	15	9	880	30
54	Gabriel	3	46	95	28	92
55	Joshua	3	24	37	599	48
56	John	3	11	3	955	22
57	Carter	3	29	53	434	58
58	Luke	3	22	30	662	44
59	Dylan	3	20	23	729	40
60	Christopher	3	19	20	763	38
61	Aria	4	25	40	569	50
62	Zoe	4	17	14	830	34
63	Samantha	4	9	1	982	18
64	Anna	4	20	23	729	40
65	Leah	4	28	50	467	56
66	Audrey	4	29	53	434	58
67	Ariana	4	31	59	376	62
68	Allison	4	32	62	350	64
69	Ava	4	31	59	376	62
70	Lucy	4	35	71	262	70
71	Isaac	4	24	37	599	48
72	Oliver	4	36	73	236	72
73	Henry	4	28	50	467	56
74	Sebastian	4	28	50	467	56
75	Caleb	4	41	85	129	82
76	Owen	4	21	27	693	42
77	Ryan	4	19	20	763	38
78	Nathan	4	27	46	500	54
79	Wyatt	4	10	1	969	20
80	Hunter	4	17	14	830	34
81	Camila	5	29	53	434	58
82	Penelope	5	17	14	830	34
83	Gabriella	5	42	87	104	84
84	Claire	5	44	92	62	88
85	Aaliyah	5	33	65	319	66
86	Sadie	5	39	81	169	78
87	Riley	5	20	23	729	40
88	Skylar	5	17	14	830	34
89	Nora	5	16	12	854	32
90	Sarah	5	11	3	955	22
91	Jack	5	9	1	982	18
92	Christian	5	26	43	532	52
93	Landon	5	14	8	902	28
94	Jonathan	5	26	43	532	52
95	Levi	5	18	17	800	36
96	Jaxon	5	30	56	410	60
97	Julian	5	33	65	319	66
98	Isaiah	5	17	14	830	34
99	Eli	5	15	9	880	30
100	Aaron	5	48	98	12	96
101	A101	99	31	59	376	62
102	A102	99	38	79	188	76
103	A103	99	33	65	319	66
104	A104	99	37	76	209	74
105	A105	99	22	30	662	44
106	A106	99	35	71	262	70
107	A107	99	50	99	1	100
108	A108	99	20	23	729	40
109	A109	99	35	71	262	70
110	A110	99	16	12	854	32
111	A111	99	29	53	434	58
112	A112	99	30	56	410	60
113	A113	99	39	81	169	78
114	A114	99	27	46	500	54
115	A115	99	19	20	763	38
116	A116	99	32	62	350	64
117	A117	99	36	73	236	72
118	A118	99	27	46	500	54
119	A119	99	25	40	569	50
120	A120	99	24	37	599	48
121	A121	99	15	9	880	30
122	A122	99	22	30	662	44
123	A123	99	32	62	350	64
124	A124	99	27	46	500	54
125	A125	99	42	87	104	84
126	A126	99	17	14	830	34
127	A127	99	42	87	104	84
128	A128	99	26	43	532	52
129	A129	99	33	65	319	66
130	A130	99	22	30	662	44
131	A131	99	44	92	62	88
132	A132	99	37	76	209	74
133	A133	99	26	43	532	52
134	A134	99	14	8	902	28
135	A135	99	30	56	410	60
